fry,class
d36676,HYDROLASE
d36677,HYDROLASE
d36678,HYDROLASE
d36679,LIPID BINDING PROTEIN
d36680,RIBOSOME
d36681,OXIDOREDUCTASE
d36682,METAL BINDING PROTEIN
d36683,TRANSFERASE
d36684,HYDROLASE
d36685,HYDROLASE
d36686,HYDROLASE
d36687,ANTIMICROBIAL PROTEIN
d36688,OXIDOREDUCTASE
d36689,TRANSFERASE/TRANSFERASE INHIBITOR
d36690,HYDROLASE
d36691,METAL BINDING PROTEIN
d36692,TRANSCRIPTION
d36693,TRANSFERASE
d36694,HYDROLASE
d36695,LYASE
d36696,DE NOVO PROTEIN
d36697,OXIDOREDUCTASE
d36698,CELL ADHESION
d36699,TRANSCRIPTION
d36700,TRANSFERASE
d36701,LIGASE
d36702,OXIDOREDUCTASE
d36703,IMMUNE SYSTEM
d36704,METAL BINDING PROTEIN
d36705,LUMINESCENT PROTEIN
d36706,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d36707,TRANSFERASE
d36708,ANTITOXIN
d36709,TRANSCRIPTION/RNA
d36710,HYDROLASE/HYDROLASE INHIBITOR
d36711,HYDROLASE
d36712,TRANSFERASE
d36713,ODORANT-BINDING PROTEIN
d36714,OXIDOREDUCTASE
d36715,HYDROLASE
d36716,CELL ADHESION
d36717,PROTEIN TRANSPORT
d36718,TRANSFERASE
d36719,STRUCTURAL GENOMICS
d36720,IMMUNE SYSTEM
d36721,TRANSCRIPTION
d36722,DNA BINDING PROTEIN
d36723,LYASE
d36724,OXIDOREDUCTASE
d36725,TRANSCRIPTION
d36726,HYDROLASE/RNA
d36727,RIBOSOME
d36728,SERINE PROTEASE INHIBITOR
d36729,DNA/ANTIBIOTIC
d36730,TRANSFERASE
d36731,NUCLEAR PROTEIN
d36732,HYDROLASE
d36733,OXIDOREDUCTASE
d36734,OXIDOREDUCTASE/INHIBITOR
d36735,OXIDOREDUCTASE
d36736,Hydrolase/Hydrolase inhibitor
d36737,CONTRACTILE PROTEIN
d36738,TRANSFERASE
d36739,TRANSCRIPTION
d36740,TRANSCRIPTION
d36741,OXIDOREDUCTASE
d36742,OXIDOREDUCTASE
d36743,TRANSFERASE
d36744,LYASE
d36745,DNA BINDING PROTEIN
d36746,REPLICATION
d36747,SUGAR BINDING PROTEIN
d36748,HYDROLASE
d36749,CHAPERONE
d36750,SIGNAL TRANSDUCTION PROTEIN
d36751,HYDROLASE
d36752,LIPID TRANSPORT
d36753,TRANSFERASE
d36754,LYASE
d36755,STRUCTURAL GENOMICS
d36756,OXIDOREDUCTASE
d36757,HYDROLASE
d36758,HYDROLASE
d36759,TRANSFERASE
d36760,DNA
d36761,HYDROLASE
d36762,TOXIN
d36763,SIGNALING PROTEIN
d36764,RNA
d36765,OXIDOREDUCTASE
d36766,DNA BINDING PROTEIN
d36767,RIBOSOME
d36768,DNA BINDING PROTEIN
d36769,TRANSFERASE/TRANSFERASE INHIBITOR
d36770,DNA
d36771,TRANSPORT PROTEIN
d36772,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d36773,STRUCTURAL GENOMICS
d36774,TOXIN
d36775,HYDROLASE/HYDROLASE INHIBITOR
d36776,TRANSPORT PROTEIN
d36777,TRANSFERASE/RNA
d36778,TRANSFERASE
d36779,HYDROLASE/HYDROLASE INHIBITOR
d36780,hydrolase/hydrolase inhibitor
d36781,OXIDOREDUCTASE/ELECTRON TRANSPORT
d36782,METAL BINDING PROTEIN/PROTEIN BINDING
d36783,HYDROLASE
d36784,CYTOLYSIN
d36785,TRANSFERASE
d36786,METAL TRANSPORT
d36787,TRANSCRIPTION
d36788,STRUCTURAL GENOMICS
d36789,TRANSPORT PROTEIN
d36790,TRANSFERASE
d36791,HYDROLASE
d36792,OXIDOREDUCTASE
d36793,LIGAND BINDING PROTEIN
d36794,CIRCADIAN CLOCK PROTEIN
d36795,RNA BINDING PROTEIN
d36796,HYDROLASE
d36797,TRANSFERASE
d36798,TRANSCRIPTION
d36799,TRANSFERASE
d36800,OXIDOREDUCTASE
d36801,PROTEIN BINDING
d36802,TRANSCRIPTION/DNA
d36803,METAL TRANSPORT
d36804,PROTEIN TURNOVER
d36805,ISOMERASE/DNA
d36806,RNA BINDING PROTEIN/RNA
d36807,TRANSFERASE
d36808,LIGASE
d36809,OXIDOREDUCTASE
d36810,NUCLEOTIDYLTRANSFERASE
d36811,VIRAL PROTEIN
d36812,TRANSCRIPTION ACTIVATOR
d36813,TRANSFERASE/TRANSFERASE INHIBITOR
d36814,HYDROLASE
d36815,HYDROLASE
d36816,HYDROLASE
d36817,HYDROLASE
d36818,TRANSCRIPTION
d36819,CALCIUM-BINDING PROTEIN
d36820,TRANSFERASE
d36821,HYDROLASE INHIBITOR
d36822,HYDROLASE/DNA
d36823,TRANSFERASE
d36824,LYASE
d36825,HYDROLASE
d36826,OXYGEN TRANSPORT
d36827,CHAPERONE
d36828,LIGASE/RNA
d36829,Hydrolase/Hydrolase inhibitor
d36830,IMMUNE SYSTEM/MEMBRANE PROTEIN
d36831,ANTITUMOR PROTEIN
d36832,BIOSYNTHETIC PROTEIN
d36833,HYDROLASE INHIBITOR
d36834,DNA BINDING PROTEIN
d36835,SIGNALING PROTEIN
d36836,HYDROLASE
d36837,TRANSFERASE/TRANSFERASE INHIBITOR
d36838,TRANSFERASE
d36839,OXIDOREDUCTASE
d36840,IMMUNE SYSTEM/DNA
d36841,PHOTOSYNTHESIS
d36842,TRANSFERASE
d36843,TRANSFERASE
d36844,TRANSFERASE
d36845,TRANSFERASE
d36846,VIRAL PROTEIN
d36847,OXIDOREDUCTASE
d36848,IMMUNE SYSTEM
d36849,HYDROLASE
d36850,OXIDOREDUCTASE
d36851,HYDROLASE
d36852,LIGASE
d36853,HYDROLASE
d36854,TRANSFERASE
d36855,MEMBRANE PROTEIN
d36856,TRANSFERASE/TRANSFERASE inhibitor
d36857,TRANSFERASE/DNA
d36858,TRANSPORT PROTEIN
d36859,OXIDOREDUCTASE (NITRIC OXIDE(A))
d36860,SIGNALING PROTEIN
d36861,RIBOSOMAL PROTEIN
d36862,RIBOSOME
d36863,OXIDOREDUCTASE
d36864,LYASE
d36865,HYDROLASE/HYDROLASE
d36866,HYDROLASE
d36867,hydrolase/hydrolase inhibitor
d36868,HYDROLASE
d36869,HYDROLASE
d36870,HYDROLASE
d36871,ACETYLCHOLINE RECEPTOR
d36872,SUGAR BINDING PROTEIN
d36873,TRANSFERASE/TRANSFERASE INHIBITOR
d36874,VIRUS
d36875,RNA
d36876,MEMBRANE PROTEIN
d36877,HYDROLASE
d36878,LYASE
d36879,SUGAR BINDING PROTEIN
d36880,LUMINESCENT PROTEIN
d36881,LYASE/LYASE INHIBITOR
d36882,DNA
d36883,LYASE
d36884,OXIDOREDUCTASE
d36885,HYDROLASE
d36886,TOXIN/IMMUNE SYSTEM
d36887,UNKNOWN FUNCTION
d36888,HYDROLASE
d36889,HYDROLASE/HYDROLASE INHIBITOR
d36890,OXIDOREDUCTASE
d36891,VIRAL PROTEIN/TRANSFERASE INHIBITOR
d36892,VIRAL PROTEIN
d36893,TRANSFERASE
d36894,LIGASE
d36895,HYDROLASE/LIGASE
d36896,Hydrolase/Hydrolase inhibitor
d36897,HYDROLASE (O-GLYCOSYL)
d36898,TRANSFERASE
d36899,OXYGEN STORAGE/TRANSPORT
d36900,TRANSCRIPTION REGULATOR
d36901,CELL ADHESION
d36902,HYDROLASE/DNA
d36903,LYASE
d36904,TRANSFERASE
d36905,IMMUNE SYSTEM
d36906,ISOMERASE
d36907,TRANSCRIPTION
d36908,TRANSFERASE
d36909,TRANSCRIPTION
d36910,HYDROLASE
d36911,TRANSCRIPTION
d36912,NEUROPEPTIDE
d36913,HYDROLASE
d36914,IMMUNE SYSTEM
d36915,LYASE
d36916,HYDROLASE
d36917,Ribosome/Antibiotic
d36918,GENE REGULATION
d36919,TRANSCRIPTION/DNA
d36920,DE NOVO PROTEIN
d36921,Hydrolase/Hydrolase inhibitor
d36922,TRANSFERASE/TRANSFERASE INHIBITOR
d36923,TRANSFERASE
d36924,HYDROLASE/HYDROLASE INHIBITOR
d36925,STRUCTURAL GENOMICS
d36926,SIGNALING PROTEIN
d36927,OXIDOREDUCTASE
d36928,PROTEIN BINDING
d36929,DNA BINDING PROTEIN
d36930,Transferase/Signaling Protein
d36931,LYASE
d36932,PHOSPHOTRANSFERASE
d36933,APOPTOSIS
d36934,TRANSFERASE
d36935,HYDROLASE
d36936,TRANSFERASE/REPLICATION
d36937,Transferase/Transferase inhibitor
d36938,HORMONE
d36939,PROTEIN BINDING
d36940,TOXIN INHIBITOR
d36941,OXIDOREDUCTASE
d36942,RIBOSOME
d36943,HYDROLASE
d36944,OXIDOREDUCTASE
d36945,IMMUNE SYSTEM
d36946,RECOMBINATION
d36947,DNA
d36948,VIRAL PROTEIN
d36949,TRANSFERASE
d36950,HYDROLASE
d36951,OXIDOREDUCTASE
d36952,TRANSLATION
d36953,UNKNOWN FUNCTION
d36954,TRANSPORT PROTEIN
d36955,IMMUNE SYSTEM
d36956,TOXIN
d36957,OXIDOREDUCTASE
d36958,TRANSCRIPTION
d36959,HYDROLASE
d36960,LIGASE
d36961,STRUCTURAL PROTEIN
d36962,TRANSFERASE
d36963,ISOMERASE
d36964,TRANSFERASE
d36965,STRUCTURAL GENOMICS
d36966,TRANSCRIPTION
d36967,TRANSPORT PROTEIN
d36968,MYRISTYLATION
d36969,GROWTH FACTOR
d36970,RIBOSOME
d36971,ligase/ligase inhibitor
d36972,HYDROLASE
d36973,STRUCTURAL PROTEIN
d36974,TRANSPORT PROTEIN
d36975,DNA BINDING PROTEIN
d36976,HYDROLASE (O-GLYCOSYL)
d36977,OXIDOREDUCTASE/TRANSCRIPTION REGULATOR
d36978,TRANSFERASE
d36979,structural genomics
d36980,LYASE
d36981,IMMUNE SYSTEM
d36982,IMMUNE SYSTEM
d36983,HYDROLASE
d36984,LYASE
d36985,FLAVOPROTEIN
d36986,LIPID BINDING PROTEIN
d36987,SIGNALING PROTEIN
d36988,DE NOVO PROTEIN
d36989,TRANSFERASE/TRANSFERASE INHIBITOR
d36990,DNA BINDING PROTEIN/DNA
d36991,OXIDOREDUCTASE
d36992,AMINO ACID TRANSPORT
d36993,G PROTEIN
d36994,TRANSCRIPTION REGULATOR
d36995,STRUCTURAL GENOMICS
d36996,AMINOACYL-TRNA SYNTHETASE
d36997,CHAPERONE/DNA
d36998,HYDROLASE
d36999,TRANSFERASE
d37000,TRANSCRIPTION
d37001,DEFENSIN
d37002,TRANSFERASE
d37003,SIGNALING PROTEIN
d37004,IMMUNE SYSTEM PROTEIN
d37005,STRUCTURAL GENOMICS
d37006,HYDROLASE
d37007,STRUCTURAL PROTEIN/MOTOR PROTEIN
d37008,hydrolase/hydrolase inhibitor
d37009,HYDROLASE
d37010,TRANSFERASE
d37011,RIBOSOME
d37012,OXIDOREDUCTASE
d37013,TRANSFERASE
d37014,DNA
d37015,TRANSFERASE
d37016,TRANSCRIPTION
d37017,TRANSCRIPTION
d37018,HYDROLASE/INHIBITOR
d37019,OXYGEN TRANSPORT
d37020,LYASE
d37021,TRANSFERASE/TRANSFERASE INHIBITOR
d37022,OXIDOREDUCTASE
d37023,HYDROLASE/HYDROLASE INHIBITOR
d37024,CALCIUM-BINDING PROTEIN
d37025,IMMUNE SYSTEM
d37026,TRANSFERASE
d37027,TRANSCRIPTION/REPLICATION
d37028,LYASE
d37029,HYDROLASE
d37030,CELL CYCLE
d37031,NUCLEAR PROTEIN
d37032,CHAPERONE/CHAPERONE INHIBITOR
d37033,ISOMERASE
d37034,PROTEIN BINDING
d37035,LIGASE
d37036,TRANSPORT PROTEIN
d37037,STRUCTURAL GENOMICS
d37038,PROTEIN BINDING
d37039,TRANSFERASE
d37040,LYASE
d37041,PROTEIN TRANSPORT
d37042,HYDROLASE
d37043,TRANSPORT
d37044,IMMUNE SYSTEM
d37045,CELL CYCLE
d37046,TRANSFERASE
d37047,SIGNALING PROTEIN
d37048,Hydrolase inhibitor
d37049,CELL ADHESION
d37050,HYDROLASE
d37051,IMMUNE SYSTEM
d37052,HYDROLASE
d37053,OXIDOREDUCTASE
d37054,HYDROLASE
d37055,CONTRACTILE PROTEIN
d37056,TRANSCRIPTION
d37057,HYDROLASE/TOXIN
d37058,HYDROLASE
d37059,HYDROLASE
d37060,OXIDOREDUCTASE(SUPEROXIDE ACCEPTOR)
d37061,LIGASE
d37062,structural genomics
d37063,HYDROLASE
d37064,LIGASE
d37065,HYDROLASE
d37066,STRUCTURAL PROTEIN
d37067,PROTEIN TRANSPORT
d37068,HYDROLASE/RNA
d37069,ANTITUMOR PROTEIN
d37070,LYASE
d37071,HYDROLASE
d37072,LYASE
d37073,SIGNALING PROTEIN
d37074,OXIDOREDUCTASE
d37075,OXIDOREDUCTASE
d37076,VIRAL PROTEIN
d37077,TRANSFERASE
d37078,TRANSPORT PROTEIN
d37079,TRANSFERASE
d37080,STRUCTURAL GENOMICS
d37081,TRANSFERASE/TRANSFERASE INHIBITOR
d37082,ANTI-ONCOGENE
d37083,VIRAL PROTEIN
d37084,METAL BINDING PROTEIN
d37085,OXIDOREDUCTASE
d37086,LYASE
d37087,Structural Genomics
d37088,HYDROLASE
d37089,ISOMERASE
d37090,TRANSFERASE
d37091,TRANSFERASE/ANTIBIOTIC
d37092,TRANSFERASE
d37093,TRANSCRIPTION
d37094,HYDROLASE
d37095,SIGNALING PROTEIN
d37096,SUGAR BINDING PROTEIN
d37097,SIGNALING PROTEIN
d37098,TRANSFERASE
d37099,ISOMERASE/BIOSYNTHETIC PROTEIN/RNA
d37100,GLYCOPROTEIN
d37101,TRANSCRIPTION
d37102,HYDROLASE/DNA
d37103,DNA BINDING PROTEIN
d37104,HYDROLASE
d37105,HYDROLASE
d37106,OXIDOREDUCTASE
d37107,TRANSFERASE
d37108,STRUCTURAL GENOMICS
d37109,HYDROLASE INHIBITOR
d37110,SIGNALING PROTEIN
d37111,MEMBRANE PROTEIN
d37112,CELL ADHESION
d37113,HYDROLASE/DNA
d37114,Calcium-binding protein
d37115,TRANSFERASE
d37116,TRANSFERASE/TRANSFERASE INHIBITOR
d37117,OXIDOREDUCTASE
d37118,TRANSFERASE/TRANSFERASE INHIBITOR
d37119,LIGASE
d37120,LYASE
d37121,TRANSFERASE
d37122,LIGASE
d37123,RNA
d37124,TRANSFERASE
d37125,RECOMBINATION/DNA
d37126,TRANSCRIPTION
d37127,CALCIUM-BINDING PROTEIN
d37128,RIBOSOMAL PROTEIN
d37129,HYDROLASE
d37130,CHAPERONE
d37131,STRUCTURAL PROTEIN
d37132,OXIDOREDUCTASE
d37133,ENDOCYTOSIS
d37134,OXYGEN TRANSPORT
d37135,METAL BINDING PROTEIN
d37136,EXCITATION ENERGY TRANSFER.
d37137,TRANSFERASE
d37138,TRANSCRIPTION REGULATION
d37139,METAL BINDING PROTEIN
d37140,COMPLEX (SERINE PROTEASE/INHIBITOR)
d37141,HYDROLASE
d37142,ANTIFUNGAL PROTEIN
d37143,Viral Protein/Immune System
d37144,METAL BINDING PROTEIN
d37145,TRANSFERASE
d37146,HYDROLASE/IMMUNE SYSTEM
d37147,TRANSFERASE
d37148,HYDROLASE
d37149,HYDROLASE/IMMUNE SYSTEM
d37150,structural genomics
d37151,HYDROLASE
d37152,HYDROLASE
d37153,TRANSPORT PROTEIN
d37154,Oxidoreductase
d37155,METAL BINDING PROTEIN
d37156,SIGNALING PROTEIN
d37157,STRUCTURAL PROTEIN
d37158,APOPTOSIS
d37159,APOPTOSIS
d37160,PHOTOSYNTHESIS
d37161,HYDROLASE
d37162,CHAPERONE
d37163,TRANSFERASE
d37164,SIGNALING PROTEIN
d37165,NEUROPEPTIDE
d37166,OXIDOREDUCTASE
d37167,STRUCTURAL PROTEIN/DNA
d37168,MEMBRANE PROTEIN
d37169,DNA BINDING PROTEIN
d37170,BACTERIAL CELL DIVISION INHIBITOR
d37171,PROLINE PEPTIDASE
d37172,IMMUNOGLOBULIN
d37173,ANTIBIOTIC
d37174,MEMBRANE PROTEIN
d37175,TRANSFERASE/DNA
d37176,TRANSLATION
d37177,TRANSFERASE
d37178,GLUTATHIONE BIOSYNTHESIS LIGASE
d37179,SH3 DOMAIN
d37180,HYDROLASE
d37181,SIGNALING PROTEIN
d37182,OXYGEN TRANSPORT
d37183,CONTRACTILE PROTEIN
d37184,HYDROLASE
d37185,TRANSFERASE
d37186,DNA BINDING PROTEIN
d37187,PROTEIN BINDING
d37188,HYDROLASE
d37189,TRANSCRIPTION
d37190,TRANSFERASE
d37191,HORMONE RECEPTOR
d37192,HYDROLASE
d37193,DNA BINDING PROTEIN
d37194,RIBOSOMAL PROTEIN
d37195,TRANSFERASE
d37196,ISOMERASE
d37197,TRANSFERASE
d37198,DNA BINDING PROTEIN/DNA
d37199,OXIDOREDUCTASE
d37200,LYASE
d37201,LYASE
d37202,HYDROLASE
d37203,TRANSFERASE
d37204,HYDROLASE
d37205,PROTEIN BINDING
d37206,HORMONE
d37207,CHAPERONE
d37208,NUCLEIC ACID BINDING PROTEIN/DNA/RNA
d37209,IMMUNE SYSTEM
d37210,NEUROPEPTIDE
d37211,LYASE
d37212,IMMUNE SYSTEM
d37213,LYASE
d37214,ENDOCYTOSIS
d37215,UNKNOWN FUNCTION
d37216,HYDROLASE
d37217,DNA BINDING PROTEIN
d37218,VIRAL PROTEIN
d37219,TRANSPORT PROTEIN
d37220,TRANSCRIPTION
d37221,OXIDOREDUCTASE
d37222,HYDROLASE
d37223,OXIDOREDUCTASE
d37224,HYDROLASE
d37225,DNA BINDING PROTEIN
d37226,ISOMERASE
d37227,SUGAR BINDING PROTEIN
d37228,HYDROLASE(O-GLYCOSYL)
d37229,STRUCTURAL GENOMICS
d37230,IMMUNE SYSTEM
d37231,TRANSFERASE
d37232,BIOSYNTHETIC PROTEIN
d37233,PEPTIDE BINDING PROTEIN
d37234,OXIDOREDUCTASE
d37235,CELL ADHESION
d37236,ASPARTYL PROTEASE
d37237,SERINE PROTEASE
d37238,TRANSFERASE
d37239,CELL CYCLE
d37240,ANTITUMOR PROTEIN
d37241,LYASE
d37242,HYDROLASE/HYDROLASE INHIBITOR
d37243,SIGNALING PROTEIN
d37244,HYDROLASE
d37245,DE NOVO PROTEIN
d37246,CELL ADHESION
d37247,HYDROLASE
d37248,HYDROLASE
d37249,ELECTRON TRANSPORT
d37250,RNA
d37251,TRANSFERASE/TRANSFERASE RECEPTOR
d37252,HYDROLASE
d37253,OXIDOREDUCTASE
d37254,SUGAR BINDING PROTEIN
d37255,OXIDOREDUCTASE
d37256,HYDROLASE
d37257,STRUCTURAL GENOMICS
d37258,INHIBITOR
d37259,TRANSCRIPTION
d37260,TRANSFERASE
d37261,SIGNALING PROTEIN
d37262,EYE LENS PROTEIN
d37263,TRANSFERASE
d37264,HYDROLASE
d37265,LIPID BINDING PROTEIN
d37266,HYDROLASE
d37267,CELL ADHESION
d37268,HYDROLASE
d37269,LIGASE/RNA
d37270,GENE REGULATION
d37271,TRANSFERASE
d37272,ANTIMICROBIAL PROTEIN
d37273,HYDROLASE
d37274,DNA
d37275,FLUORESCENT PROTEIN
d37276,TRANSFERASE
d37277,HYDROLASE
d37278,IMMUNE SYSTEM
d37279,LYASE
d37280,LYASE
d37281,SIGNALING PROTEIN
d37282,IMMUNE SYSTEM
d37283,HYDROLASE
d37284,VIRAL PROTEIN
d37285,HYDROLASE
d37286,TRANSLATION
d37287,HYDROLASE
d37288,CHAPERONE
d37289,IMMUNE SYSTEM
d37290,LYASE (CARBON-OXYGEN)
d37291,TRANSFERASE
d37292,TRANSFERASE
d37293,LIGASE/LIGASE INHIBITOR
d37294,TRANSFERASE/TRANSFERASE INHIBITOR
d37295,LECTIN
d37296,TRANSFERASE/IMMUNE SYSTEM
d37297,PEPTIDE BINDING PROTEIN
d37298,PROTEIN TRANSPORT
d37299,CELLULOSE DEGRADATION
d37300,HYDROLASE
d37301,OXIDOREDUCTASE
d37302,TRANSPORT PROTEIN
d37303,BIOTIN BINDING PROTEIN
d37304,TRANSFERASE/DNA
d37305,OXYGEN TRANSPORT
d37306,GENE REGULATION
d37307,oxidoreductase/Inhibitor
d37308,TRANSFERASE
d37309,TRANSFERASE
d37310,TRANSCRIPTION/DNA
d37311,IMMUNE SYSTEM
d37312,HYDROLASE INHIBITOR
d37313,TRANSFERASE
d37314,MEMBRANE PROTEIN
d37315,ATP binding protein
d37316,UBIQUITIN CONJUGATION
d37317,TRANSPORT PROTEIN
d37318,TRANSCRIPTION  REGULATOR/DNA
d37319,HYDROLASE/HYDROLASE INHIBITOR
d37320,TRANSFERASE
d37321,LYASE
d37322,MOTOR PROTEIN
d37323,HYDROLASE
d37324,RNA BINDING PROTEIN/RNA
d37325,OXIDOREDUCTASE
d37326,ANTIMICROBIAL PROTEIN
d37327,HYDROLASE/HYDROLASE INHIBITOR
d37328,LYASE (CARBON-CARBON)
d37329,HYDROLASE
d37330,PROTEIN BINDING
d37331,DE NOVO PROTEIN
d37332,ISOMERASE/DNA
d37333,NUCLEOTIDYLTRANSFERASE
d37334,TRANSPORT PROTEIN
d37335,PHOTOSYNTHESIS
d37336,HYDROLASE
d37337,HYDROLASE
d37338,TRANSFERASE
d37339,PHOSPHODIESTERASE
d37340,IMMUNE SYSTEM
d37341,TRANSPORT PROTEIN
d37342,OXIDOREDUCTASE
d37343,ISOMERASE/IMMUNOSUPPRESSANT
d37344,TRANSFERASE
d37345,TRANSFERASE
d37346,DE NOVO PROTEIN
d37347,LYASE
d37348,OXIDOREDUCTASE
d37349,structural genomics
d37350,REPLICATION
d37351,OXIDOREDUCTASE
d37352,VIRUS
d37353,CELL ADHESION
d37354,HYDROLASE
d37355,LYASE
d37356,PROTEIN TRANSPORT
d37357,TRANSCRIPTION
d37358,UNKNOWN FUNCTION
d37359,OXIDOREDUCTASE/OXIDOREDUCTASE SUBSTRATE
d37360,RNA BINDING PROTEIN
d37361,HORMONE RECEPTOR
d37362,TRANSPORT PROTEIN
d37363,PROTEIN TRANSPORT
d37364,HYDROLASE/HYDROLASE INHIBITOR
d37365,TRANSFERASE
d37366,BLOOD CLOTTING
d37367,OXIDOREDUCTASE
d37368,TRANSFERASE
d37369,VIRAL PROTEIN
d37370,HYDROLASE
d37371,IMMUNE SYSTEM
d37372,OXIDOREDUCTASE
d37373,Hydrolase/Hydrolase inhibitor
d37374,TRANSFERASE
d37375,TRANSCRIPTION
d37376,HYDROLASE
d37377,TRANSFERASE
d37378,STRUCTURAL GENOMICS
d37379,HYDROLASE
d37380,TRANSLATION
d37381,CHAPERONE
d37382,HYDROLASE
d37383,IMMUNE SYSTEM
d37384,TRANSFERASE
d37385,HYDROLASE
d37386,HYDROLASE/HYDROLASE INHIBITOR
d37387,sugar binding protein/inhibitor
d37388,SPLICING/RNA
d37389,TRANSFERASE
d37390,HYDROLASE
d37391,TRANSCRIPTION
d37392,METAL TRANSPORT
d37393,TRANSFERASE/TRANSFERASE INHIBITOR
d37394,TRANSCRIPTION
d37395,DNA BINDING PROTEIN
d37396,TRANSFERASE
d37397,ANTIBIOTIC
d37398,TRANSFERASE
d37399,EXOCYTOSIS
d37400,HYDROLASE
d37401,TRANSFERASE/TRANSFERASE INHIBITOR
d37402,MEMBRANE PROTEIN
d37403,RIBOSOME
d37404,GENE REGULATION
d37405,TRANSCRIPTION
d37406,HYDROLASE
d37407,HYDROLASE
d37408,HYDROLASE
d37409,MEMBRANE PROTEIN/AGONIST
d37410,SIGNALING PROTEIN
d37411,VIRAL PROTEIN
d37412,CHAPERONE
d37413,HYDROLASE
d37414,OXIDOREDUCTASE
d37415,PLP-binding protein
d37416,HYDROLASE
d37417,SIGNALING PROTEIN
d37418,HYDROLASE
d37419,TRANSFERASE
d37420,OXIDOREDUCTASE
d37421,HYDROLASE
d37422,FUSION PROTEIN
d37423,OXIDOREDUCTASE
d37424,TRANSFERASE
d37425,TRANSFERASE
d37426,VIRAL PROTEIN
d37427,TRANSFERASE
d37428,PLANT PROTEIN
d37429,HYDROLASE
d37430,OXIDOREDUCTASE
d37431,UNKNOWN FUNCTION
d37432,structural genomics
d37433,LYASE
d37434,OXIDOREDUCTASE
d37435,ENDOCYTOSIS/EXOCYTOSIS
d37436,COMPLEX (HYDROLASE/PEPTIDE)
d37437,HYDROLASE
d37438,OXIDOREDUCTASE
d37439,IMMUNE SYSTEM
d37440,CYTOKINE
d37441,PROTEIN BINDING/PEPTIDE
d37442,TRANSFERASE
d37443,PHEROMONE
d37444,RNA
d37445,TRANSFERASE/TRANSFERASE inhibitor
d37446,HYDROLASE
d37447,OXIDOREDUCTASE
d37448,LYASE
d37449,TRANSFERASE
d37450,HYDROLASE/HYDROLASE INHIBITOR
d37451,DE NOVO PROTEIN
d37452,HYDROLASE
d37453,STRUCTURAL PROTEIN
d37454,ALLERGEN
d37455,RNA BINDING PROTEIN
d37456,HYDROLASE
d37457,DNA
d37458,HYDROLASE
d37459,ISOMERASE
d37460,DE NOVO PROTEIN
d37461,LIGASE
d37462,HYDROLASE
d37463,ELECTRON TRANSPORT
d37464,HYDROLASE
d37465,TRANSFERASE
d37466,SERINE PROTEINASE
d37467,TRANSFERASE
d37468,HYDROLASE
d37469,OXIDOREDUCTASE
d37470,TRANSPORT PROTEIN
d37471,FLUORESCENT PROTEIN
d37472,MEMBRANE PROTEIN
d37473,LYASE
d37474,HYDROLASE
d37475,TOXIN
d37476,DNA BINDING (VIRAL)
d37477,HYDROLASE
d37478,ISOMERASE
d37479,PROTEIN FIBRIL
d37480,HYDROLASE/HYDROLASE INHIBITOR
d37481,IMMUNE SYSTEM
d37482,HYDROLASE/DNA
d37483,OXIDOREDUCTASE
d37484,RNA
d37485,TRANSFERASE
d37486,DNA
d37487,DNA
d37488,OXIDOREDUCTASE
d37489,HYDROLASE
d37490,VIRAL PROTEIN
d37491,LYASE
d37492,HYDROLASE/HYDROLASE INHIBITOR
d37493,ISOMERASE
d37494,HYDROLASE/HYDROLASE INHIBITOR
d37495,TRANSFERASE
d37496,LIGASE
d37497,TRANSFERASE
d37498,HYDROLASE
d37499,IMMUNE SYSTEM
d37500,TOXIN/ANTITOXIN/DNA
d37501,Transferase
d37502,TRANSFERASE/DNA
d37503,METAL TRANSPORT
d37504,HYDROLASE
d37505,OXIDOREDUCTASE/INHIBITOR
d37506,TRANSPORT PROTEIN
d37507,TRANSCRIPTION
d37508,HYDROLASE
d37509,CELL ADHESION
d37510,TRANSPORT PROTEIN
d37511,TRANSPORT PROTEIN
d37512,RNA/antibiotic
d37513,REPLICATION
d37514,OXYGEN TRANSPORT
d37515,RNA BINDING PROTEIN
d37516,VIRAL PROTEIN
d37517,HYDROLASE
d37518,ISOMERASE
d37519,OXYGEN TRANSPORT
d37520,MEMBRANE PROTEIN
d37521,HYDROLASE
d37522,IMMUNE SYSTEM
d37523,TRANSFERASE/RNA
d37524,HYDROLASE
d37525,HYDROLASE
d37526,TRANSFERASE/INHIBITOR
d37527,HYDROLASE
d37528,HYDROLASE
d37529,ELECTRON TRANSFER
d37530,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d37531,HYDROLASE
d37532,HYDROLASE
d37533,Transferase/DNA
d37534,RNA
d37535,OXIDOREDUCTASE
d37536,OXYGEN TRANSPORT
d37537,HYDROLASE
d37538,HYDROLASE
d37539,PROTEIN TRANSPORT
d37540,hydrolase inhibitor
d37541,PROTEIN TRANSPORT
d37542,RIBOSOME
d37543,OXIDOREDUCTASE
d37544,UNKNOWN FUNCTION
d37545,TRANSPORT PROTEIN
d37546,MEMBRANE PROTEIN/IMMUNE SYSTEM
d37547,TRANSFERASE/TRANSFERASE INHIBITOR
d37548,HYDROLASE
d37549,SIGNALING PROTEIN
