structureId,experimentalTechnique,macromoleculeType,residueCount,resolution,structureMolecularWeight,crystallizationMethod,crystallizationTempK,densityMatthews,densityPercentSol,pdbxDetails,phValue,publicationYear,
3LW1,X-RAY DIFFRACTION,Protein,262,1.28,29502.97,"VAPOR DIFFUSION, HANGING DROP",277,2.47,50.23,"0.1M HEPES, 0.2M calcium chloride, 28% PEG 400, 5% glycerol, 2mM DTT, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 277K",7.5,2010,
3L0S,X-RAY DIFFRACTION,Protein,446,2,49508.01,"VAPOR DIFFUSION, HANGING DROP",277,2.35,47.66,"0.2 M tartrate Na/K, 0.1 M MES (pH 6.5) and 20% PEG 2K, VAPOR DIFFUSION, HANGING DROP, temperature 277K",6.5,2011,
2Y7W,X-RAY DIFFRACTION,Protein,912,2.89,104893.27,,,2.32,47,"0.1M BIS-TRIS PH 6.5, 0.2M MGCL2, 25% PEG 3350",,2011,
3QCG,X-RAY DIFFRACTION,Protein,310,2.05,36131.3,,277,3.5,64.9,"pH 7.0, vapor diffusion, temperature 277K",7,2011,
1QTP,X-RAY DIFFRACTION,Protein,247,1.6,28016.25,"VAPOR DIFFUSION, HANGING DROP",293,2.09,41.1,"1.5 M MAGNESIUM SULFATE, 100 MM MES, 10MM SPERMINE TETRA-HCL, pH 6.8, VAPOR DIFFUSION, HANGING DROP, temperature 293K",6.8,1999,
1UT4,X-RAY DIFFRACTION,Protein,342,2.5,39561.33,,,2.4,30,pH 7.00,7,2004,
3F12,X-RAY DIFFRACTION,Protein,916,2.95,99132.57,"VAPOR DIFFUSION, HANGING DROP",298,2.72,54.75,"2.6 M Ammonium sulfate, 2% PEG 400 in CAPS buffer, pH 10.6, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K",10.6,2008,
2JU8,SOLUTION NMR,Protein,127,,14858.47,,,,,,,2007,
2OE0,X-RAY DIFFRACTION,Protein,228,2,25737.87,"VAPOR DIFFUSION, HANGING DROP",291,2.6,52.71,"0.2M ammonium sulfate, 0.1M sodium acetate, 8% PEG 4000,  15% glycerol, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 291K",4.6,2009,
5CZ9,X-RAY DIFFRACTION,Protein,6614,2.9,736485.38,"VAPOR DIFFUSION, HANGING DROP",293,3.67,66.52,"20 mM MgAC2, 13% MPD, 0.1 M MES",6.8,2016,
3FA2,X-RAY DIFFRACTION,Protein,436,2.2,50480.86,"VAPOR DIFFUSION, HANGING DROP",298,2.6,52.67,"0.1M MES  15% w/v PEG3350, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",6.5,,
4YJJ,X-RAY DIFFRACTION,Protein,668,2.7,74482.33,"VAPOR DIFFUSION, HANGING DROP",293,2.32,47.06,"18.5% PEG 3350, 0.1 M sodium citrate buffer pH 6.0",6,,
4L60,X-RAY DIFFRACTION,Protein,256,3,28739.88,"VAPOR DIFFUSION, HANGING DROP",291.15,5.24,76.54,"20% PEG3000, 0.2M NaCl, and HEPES, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 291.15K",7.5,2013,
1RN8,X-RAY DIFFRACTION,Protein,152,1.93,16975.26,"VAPOR DIFFUSION, HANGING DROP",293,2.54,51.16,"PEG 3350, sodium acetate, Tris, pH 7.8, VAPOR DIFFUSION, HANGING DROP, temperature 293K",7.8,2004,
4Z1Y,X-RAY DIFFRACTION,Protein,852,2.53,92312.45,VAPOR DIFFUSION,291,2.97,58.55,"0.1 M Bis-Tris propane buffer (pH 9.0), 0.21 M NaCl, 28% (w/v) PEG 1500 and 20% (v/v) glycerol",9,2015,
1JUV,X-RAY DIFFRACTION,Protein,193,1.7,22483.28,"VAPOR DIFFUSION, HANGING DROP",295,2.44,49.29,"NaCl, (NH4)2HPO4 , pH 8.1, VAPOR DIFFUSION, HANGING DROP, temperature 295K",8.1,,
1H3F,X-RAY DIFFRACTION,Protein,864,2,98387.13,,,2.7,54.6,"12MG/ML PROTEIN IN 1:1 RATIO WITH RESERVOIR SOLUTION CONTAINING 1.2M AMMONIUM SULPHATE, 50MM MES(PH5.8), 10MM MGCL2, 0.5MM DDT, pH 5.80",5.8,2002,
2XE5,X-RAY DIFFRACTION,Protein,2058,2.28,236019.31,,,2.99,58.8,,,2011,
3K8H,X-RAY DIFFRACTION,Protein,524,2.39,58530.57,"VAPOR DIFFUSION, SITTING DROP",293,2.67,53.86,"12% PEG 3350, 0.1M MgCl2, 0.1M MES, pH 5.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K",5.5,2011,
1RV5,X-RAY DIFFRACTION,Protein#DNA,510,2.1,63830.79,,,2.18,43.45,pH 7.5,7.5,1998,
3UYM,X-RAY DIFFRACTION,,296,2.11,32400.87,"VAPOR DIFFUSION, HANGING DROP",293,1.85,33.44,"Crystals of the complex were grown using a 1.0:1.1 molar ratio of pilotin:secretin peptide and crystallized using a reservoir of 2M ammonium sulphate, 0.1 M Tris, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",8.5,2012,
4YUS,X-RAY DIFFRACTION,Protein,382,1.8,43510.46,"VAPOR DIFFUSION, HANGING DROP",293,2.03,39.31,"0.1M sodium citrate pH5.0, 10% PEG 20K, 5mM Mgnasium chloride, 5mM ApCpp",,2016,
5CYW,X-RAY DIFFRACTION,Protein,152,2,18402.96,"VAPOR DIFFUSION, SITTING DROP",298,4.66,69.55,"0.1 M Tris, pH 8.5, 3.5 M sodium chloride",8.5,2015,
2VR8,X-RAY DIFFRACTION,Protein,308,1.36,32883.48,,,2.4,40,"20% PEG3350, 0.2M SODIUM THIOCYANATE, pH 7.0",7,2008,
3RT0,X-RAY DIFFRACTION,Protein,1046,2.11,116872.14,"VAPOR DIFFUSION, HANGING DROP",291,2.22,44.64,"100mM Tris, 21% PEG3350, 2% Dioxane , pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 291K",8,2011,
5ED9,X-RAY DIFFRACTION,Protein,234,2.01,25832.02,"VAPOR DIFFUSION, SITTING DROP",289,2.84,61.3,"0.1M Tris-HCl, 25%(w/v) PEG3350",8,2016,
2RKK,X-RAY DIFFRACTION,Protein,336,2.9,38298.25,VAPOR DIFFUSION,293,3.65,66.33,"Sodium Formate, vapor diffusion, temperature 293K, pH 7, VAPOR DIFFUSION",7,2008,
3PS6,X-RAY DIFFRACTION,Protein,966,2.6,111036.42,VAPOR DIFFUSION,286,2.33,47.21,"0.1M BIS-TRIS PROPANE, 0.2M (NH4)2SO4, 16-18% (W/V) PEG3350, 10% (V/V) ETHYLENE GLYCOL AND 10MM TCEP , pH 8.2, VAPOR DIFFUSION, temperature 286K",8.2,2011,
5VBT,X-RAY DIFFRACTION,Protein,158,1.51,17752.58,"VAPOR DIFFUSION, SITTING DROP",293,2.02,39.2,"1.2 M sodium citrate, 0.1 M Tris pH 8.5",8.5,,
3NLX,X-RAY DIFFRACTION,Protein,844,1.87,100340.94,"VAPOR DIFFUSION, SITTING DROP",277,2.46,49.9,"PEG 3350, MES, ammonium acetate, SDS, GSH, pH 5.8, VAPOR DIFFUSION, SITTING DROP, temperature 277K",5.8,2010,
4AHW,X-RAY DIFFRACTION,Protein,270,1.5,31055.85,,,2.68,54.09,"200 MM BISTRISPROPANE PH 7.5, 500 MM NACL, 20% PEG 4000",7.5,2012,
2ZFC,X-RAY DIFFRACTION,Protein,147,1.5,16675.39,"VAPOR DIFFUSION, SITTING DROP",289,2.78,55.74,"10%(v/v) iso-propanol, 0.1M Na Citrate pH 5.6, 10%(w/v) PEG 4000, VAPOR DIFFUSION, SITTING DROP, temperature 289K",5.6,2008,
3CN6,X-RAY DIFFRACTION,Protein,608,2.95,65426.41,"VAPOR DIFFUSION, HANGING DROP",280,2.91,57.74,"Reservoir: 0.1M Tris, 0.2M NaCl, 24% PEG400.   Reservoir mixed 1:4 with 0.1M CdCl2, and then mixed 1:1 with protein,   centrifuged briefly and supernatant used for crystallization, pH 7, VAPOR DIFFUSION, HANGING DROP, temperature 280K",7,2009,
4H5U,X-RAY DIFFRACTION,Protein,1364,1.92,154989.36,"VAPOR DIFFUSION, HANGING DROP",287,2.06,40.41,"17.5% PEG4000, 0.1M sodium cacodylate, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 287K",6.5,2013,
4HMC,X-RAY DIFFRACTION,Protein,528,2.1,58732.44,"VAPOR DIFFUSION, HANGING DROP",277,2.9,57.53,"23% PEG 4000 w/v, 0.16M ammonium sulphate, 0.1M citrate buffer, pH 5.5., VAPOR DIFFUSION, HANGING DROP, temperature 277K",5.5,2013,
3ZE1,X-RAY DIFFRACTION,Protein,2740,3,302489.84,,,3.35,63,"11% PEG 8000, 0.2 M AMMONIUM SULFATE, 0.1 M TRIS-HCL PH 8.9",8.9,2013,
1STD,X-RAY DIFFRACTION,Protein,172,2.9,20715.14,,,2.99,58.91,,,1994,
2VCC,X-RAY DIFFRACTION,Protein,891,2,102685.64,,,2.74,54.71,,,2008,
4ZYW,X-RAY DIFFRACTION,Protein,210,2.05,23541.76,"VAPOR DIFFUSION, SITTING DROP",277,3.86,68.17,"18 % PEG4000, 2 % PEG400, 0.33 M NaCl",7.5,2016,
2N5F,SOLUTION NMR,Protein,218,,24364.2,,,,,,,2016,
1GU0,X-RAY DIFFRACTION,Protein,1872,2,199323.83,,,2.8,56.3,"PEG 8000, SODIUM/POTASSIUM PHOSPHATE, TRIS BUFFER, pH 8.50",8.5,2002,
5EOU,X-RAY DIFFRACTION,Protein,744,2.4,81601.23,"VAPOR DIFFUSION, SITTING DROP",293,2.47,50.26,"ammonium sulphate, tris",,2016,
4KD0,X-RAY DIFFRACTION,,4674,3.5,871050.06,,,3.62,66.07,,,2013,
5APC,X-RAY DIFFRACTION,Protein,129,1.7,14354.15,,,2.02,38.6,"50MM NA ACETATE, PH 4.5 1M NACL 25% ETHYLENE GLYCOL 30-100MG/ML HEWL IN 50MM NA ACETATE, PH 4.5",4.5,2015,
2RFE,X-RAY DIFFRACTION,Protein,1376,2.9,156370.83,"VAPOR DIFFUSION, HANGING DROP",293,2.67,53.92,"19% PEG3350, 100 mM NaNO3, 100 mM Bis-Tris propane, pH 7.5, vapor diffusion, hanging drop, temperature 293K",7.5,2007,
6ASB,X-RAY DIFFRACTION,Protein#DNA,588,2.85,85342.21,VAPOR DIFFUSION,291,2.61,52.96,"28% PEG2000-MME, 0.1 M Bis-Tris",6.5,2018,
3R1D,X-RAY DIFFRACTION,RNA,55,1.45,19283.84,"VAPOR DIFFUSION, HANGING DROP",292,2.52,51.25,"10 mM MgCl2, cacodylate, 1.0 M Li2SO4, pH 6.0, VAPOR DIFFUSION, HANGING DROP, temperature 292K",6,2011,
5WTH,ELECTRON MICROSCOPY,Protein,1179,4.2,7830761,,,,,,,2017,
5T17,SOLUTION NMR,Protein,85,,9254.57,,,,,,,2008,
1GFT,X-RAY DIFFRACTION,Protein,130,1.8,14807.73,"VAPOR DIFFUSION, HANGING DROP",283,1.85,33.62,"sodium phosphate, sodium chloride, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 283K",4.5,2002,
2LUJ,SOLUTION NMR,DNA,30,,9401.25,,,,,,,2012,
1I9A,X-RAY DIFFRACTION,Protein,364,2.5,41547.49,"VAPOR DIFFUSION, HANGING DROP",293,3.26,62.31,"8% PEG 8K, 15% PEG 1K 100mM NaCl, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",6.5,2001,
3DND,X-RAY DIFFRACTION,Protein,370,2.26,43124.08,"VAPOR DIFFUSION, HANGING DROP",277,2.65,53.5,"75mM LiCl, 30mM MesBisTris, 1mM DTT, 0.2mM EDTA, pH 6.5, 15% Methanol, pH 6.4, VAPOR DIFFUSION, HANGING DROP, temperature 277K",6.4,2008,
3A4W,X-RAY DIFFRACTION,Protein,622,1.8,71769.13,"VAPOR DIFFUSION, HANGING DROP",298,3.21,61.63,"VAPOR DIFFUSION, HANGING DROP, pH6.0, temperature 298K",6,2010,
3URZ,X-RAY DIFFRACTION,Protein,416,2.19,49508.2,"VAPOR DIFFUSION, SITTING DROP",277,3.08,60.12,"0.20 M zinc acetate, 16.40 % polyethylene glycol 8000, 0.1M MES pH 5.93, NANODROP, VAPOR DIFFUSION, SITTING DROP, temperature 277K",5.93,,
3DK5,X-RAY DIFFRACTION,Protein,495,2.23,51686.34,"VAPOR DIFFUSION, SITTING DROP",277,3.28,62.55,"8% PEG 8000, 150mM NaCl, 2mM MnCl2, 5%Glycerol, 1,3-butanediol, AMPPNP, MgCl2, DTT, pH 7.5, vapor diffusion, sitting drop, temperature 277K",7.5,2009,
2GIN,X-RAY DIFFRACTION,Protein,1128,1.8,126265.31,"VAPOR DIFFUSION, HANGING DROP",291,2.42,48.82,"14% (w/v) PEG 8000, 6%(v/v) tert. Butanol, 100mM MES, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 291K",5,2006,
4HLE,X-RAY DIFFRACTION,Protein,966,2.78,111081.53,"VAPOR DIFFUSION, HANGING DROP",289,2.35,47.62,"PEG 3350, 0.2M NH4SO4, 0.1M Tris-HCl 8.5, vapor diffusion, hanging drop, temperature 289K",8.5,2013,
1ZDT,X-RAY DIFFRACTION,Protein,506,2.1,59603.59,"VAPOR DIFFUSION, SITTING DROP",277,2.65,53.17,"PEG3350, ammonium sulfate, sucrose, pH 5.5, temperature 277K, VAPOR DIFFUSION, SITTING DROP",5.5,2005,
1IVE,X-RAY DIFFRACTION,Protein,776,2.4,92419.76,,,3.52,65.04,"NATIVE CRYSTALS SOAKED IN 5MM BANA108 SOLUTION, PH 6.8.",,1995,
3OXU,X-RAY DIFFRACTION,Protein,1338,2.1,151391.44,"VAPOR DIFFUSION, HANGING DROP",290,2.85,56.87,"4% w/v PEG 8000, 0.1 M Tris HCl, pH 8.8, VAPOR DIFFUSION, HANGING DROP, temperature 290K",8.8,2011,
3FZG,X-RAY DIFFRACTION,Protein,200,2,23777.28,"VAPOR DIFFUSION, HANGING DROP",277,2.35,47.74,"20% PEG 3350, 50mM bis-tris pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 277K",6.5,2009,
2ZPI,X-RAY DIFFRACTION,Protein,418,1.49,46806.52,"VAPOR DIFFUSION, HANGING DROP",293,2.46,50.08,"20% PEG 8000, 0.1M Tris-HCl pH 7.5, 300mM MgCl2, VAPOR DIFFUSION, HANGING DROP, temperature 293K",7.5,2008,
5A9V,X-RAY DIFFRACTION,Protein,3642,3.31,404635.88,,,4.2,70,"20% (W/V) PEG3350, 0.2 M POTASSIUM SODIUM TARTRATE TETRAHYDRATE",,2015,
4USJ,X-RAY DIFFRACTION,Protein,944,2.85,103609.93,,,4,69,"200 MM NACL, 100 MM NA/K PHOSPHATE, PH 6.2, 50% (V/V) PEG 200",,2014,
5TRC,X-RAY DIFFRACTION,Protein,948,2.9,107534.41,"VAPOR DIFFUSION, SITTING DROP",293,2.68,54.12,"100 mM HEPES (pH 7.5), 3% (v/v) MPD, 2.5 mM sodium citrate, and 5% (v/v) glycerol",7.5,2016,
5ECN,X-RAY DIFFRACTION,Protein,2042,1.72,235228.19,"VAPOR DIFFUSION, SITTING DROP",297,2.28,46.11,"0.2 M sodium acetate trihydrate, 0.1 M Tris-HCl, 30%(w/v) PEG 3000",8.5,2017,
3OPU,X-RAY DIFFRACTION,Protein,2034,2.18,228433.33,"VAPOR DIFFUSION, HANGING DROP",291.15,2.79,55.86,"0.1 M sodium acetate pH 5.0, 15% (w/v) polyethylene glycol 6000., VAPOR DIFFUSION, HANGING DROP, temperature 291.15K",5,2011,
2AKG,SOLUTION NMR,DNA,24,,7610.92,,,,,,,2005,
2XFI,X-RAY DIFFRACTION,Protein,392,1.73,44368.09,,,2.01,38.32,"CRYSTALS GROWN BY VAPOUR DIFFUSION AT 20C USING STREAK SEEDING, WITH 10% PEG8000 AND 0.1M GLYCINE PH 3.2",,2010,
4ZBH,X-RAY DIFFRACTION,Protein,146,1.5,16248.86,"VAPOR DIFFUSION, HANGING DROP",288,2.12,41.92,"3 M POTASSIUM CHLORIDE AND 50 mM  HEPES, PH7.0, VAPOR DIFFUSION, HANGING DROP, TEMPERATURE 298K",7,2015,
3ICK,X-RAY DIFFRACTION,Protein,362,2.4,42118.66,"VAPOR DIFFUSION, HANGING DROP",298,2.31,46.71,"PEG 4000, 200mM Ammonium Sulfate, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 298K",4.6,2010,
4QRU,X-RAY DIFFRACTION,Protein,384,1.6,45054.84,"VAPOR DIFFUSION, HANGING DROP",277,2.54,51.52,"0.2M ammonium acetate, 16% PEG 4K, 0.1 tri-Na citrate, pH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 277K",5.6,2014,
5FWS,X-RAY DIFFRACTION,Protein,406,1.9,45351.54,,,2,38,"2.0 M AMMONIUM SULFATE, 5 %V/V ISO-PROPANOL, pH 7.5",7.5,2016,
3OWY,X-RAY DIFFRACTION,Protein,1048,2.3,117568.21,"VAPOR DIFFUSION, HANGING DROP",293,2.11,41.73,"1.1 M ammonium sulfate, 5% isopropanol, 40 mM potassium phosphate, pH 7.2, VAPOR DIFFUSION, HANGING DROP, temperature 293K",7.2,2012,
2WDZ,X-RAY DIFFRACTION,Protein,1016,1.95,108904.25,,,2.1,41,"100MM MES PH 5.5, 200MM MAGNESIUM CHLORIDE, 12.5%(W/V)MPEG5000",5.5,2010,
1T1W,X-RAY DIFFRACTION,Protein,383,2.2,44579.52,"VAPOR DIFFUSION, HANGING DROP",293,2.59,52.54,"PEG, MES, pH 6.50, VAPOR DIFFUSION, HANGING DROP, temperature 293K",6.5,2006,
1DW9,X-RAY DIFFRACTION,Protein,1560,1.65,175117.75,,,2.53,51,"SELENOMETHIONINE LABELLED CRYSTALS WERE GROWN BY THE SITTING DROP METHOD OF VAPOUR DIFFUSION FROM 50% AMMONIUM SULPHATE SOLUTIONS BUFFERED WITH 50MM NAKPO4, PH = 7.3, AND IN THE PRESENCE OF 50 MM TRIC/HCL, PH =7.3. MICROSEEDING WITH WILD-TYPE CRYSTALS PRODUCED CRYSTALS THAT GREW TO 0.1 X 0.2 X 0.7 MM OVER 5-7 DAYS.",7.3,2000,
3J55,ELECTRON MICROSCOPY,,4085,15,816963.62,,,,,,,2013,
1AQ6,X-RAY DIFFRACTION,Protein,506,1.95,55126.82,macroseeding,,2,38,"MACROSEEDING, DROP: 16% PEG8000, 200 MM SODIUM FORMATE, 100 MM BIS-TRIS PH 7.0; WELL: 22% PEG8000, 200 MM SODIUM FORMATE, 100 MM BIS-TRIS PH 7.0, macroseeding",7,1997,
2M1S,SOLUTION NMR,Protein,99,,10819.25,,,,,,,2010,
4XCH,X-RAY DIFFRACTION,Protein,776,2.2,86531.91,"VAPOR DIFFUSION, SITTING DROP",293,1.94,36.51,"0.2M potassium-sodium tartrate, 0.1M sodium citrate (pH 6.5), 1M ammonium sulfate",6.5,,
3KUI,X-RAY DIFFRACTION,Protein,103,2.3,11319.38,"VAPOR DIFFUSION, HANGING DROP",295,,,"2.1M ammonium sulfate, 0.2M sodium sulfate, 10mM zinc chloride, 0.1M sodium acetate, pH 5.4, VAPOR DIFFUSION, HANGING DROP, temperature 295K",5.4,2010,
4LQW,X-RAY DIFFRACTION,Protein,646,1.95,71835.79,"VAPOR DIFFUSION, SITTING DROP",290,2.3,46.6,"23 % v/v PEG 4000, 23 % glycerol, 8.5 % isopropanol, 85 mM HEPES pH 7.5, 20 mM spermine tetrahydrochloride, 100 mM glycine, VAPOR DIFFUSION, SITTING DROP, temperature 290K",7.5,2013,
1IAA,X-RAY DIFFRACTION,Protein,200,1.9,22681.52,,,2.42,49.16,,,1994,
4HY3,X-RAY DIFFRACTION,Protein,1460,2.8,161820.27,"VAPOR DIFFUSION, SITTING DROP",298,2.42,49.07,"30% PEG 6000, 0.1M HEPES, 0.1M MgCl2, pH 7.0, VAPOR DIFFUSION, SITTING DROP, temperature 298K",7,,
4QAI,X-RAY DIFFRACTION,Protein,2442,2.75,274649.53,"VAPOR DIFFUSION, HANGING DROP",277,3.28,62.54,"3M sodium malonate, pH 7, VAPOR DIFFUSION, HANGING DROP, temperature 277K",7,2014,
2B3C,SOLUTION NMR,Protein,64,,7299.31,,,,,,,1999,
1JE3,SOLUTION NMR,Protein,97,,10818.33,,,,,,,2002,
3JW6,X-RAY DIFFRACTION,Protein,245,2.3,29080.2,,300,1.58,22.15,"Natural intracellular crystals were directly purified from Sf21 cells infected by the AcMNPV baculovirus, pH 7, temperature 300K",7,2009,
1ERF,INFRARED SPECTROSCOPY,Protein,24,,2123.48,,,,,,,2002,
5ADM,X-RAY DIFFRACTION,Protein,886,2.2,102213.94,,,2.45,49.8,"20-22% PEG3350 0.1M CACODYLATE, 140-200 MM MG ACETATE 5 MM TCEP, pH 6.0",6,2015,
3IOQ,X-RAY DIFFRACTION,Protein,213,1.87,24776.64,"VAPOR DIFFUSION, HANGING DROP",291,3.5,64.82,"0.2 M ammonium sulfate, 25% PEG 4000, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 291K",6.5,,
1NWH,X-RAY DIFFRACTION,Protein,742,2,81401.67,"VAPOR DIFFUSION, HANGING DROP",273,2.1,41.08,"20-24% PEG 3350, 0.2 M Ammonium Acetate, 0.1 M Tris-HCl, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 273K",8.5,2003,
4JQN,X-RAY DIFFRACTION,Protein,289,1.36,34052.37,"VAPOR DIFFUSION, SITTING DROP",283,3.08,60.1,"Apo crystal grown in 500mM MES, pH 6.0. Soaked into 50mM 4-Hydroxybenzaldehyde, 25% MPD pH 4.5 (30min-1hr), vapor diffusion, sitting drop, temperature 283K",6,2013,
4ICV,X-RAY DIFFRACTION,Protein,85,1.45,10242.25,"VAPOR DIFFUSION, HANGING DROP",292,2.61,52.8,"100 mM Bis Tris pH 6.5 and 43 % (v/v) PEG 400 and 10 mM praseodymium (III) acetate, VAPOR DIFFUSION, HANGING DROP, temperature 292K",6.5,2015,
5C2I,X-RAY DIFFRACTION,Protein,1872,1.89,216942.08,"VAPOR DIFFUSION, HANGING DROP",293,2.89,57.49,PEG 4000,7.2,2016,
3ULG,X-RAY DIFFRACTION,Protein,268,3.2,30765.67,"VAPOR DIFFUSION, HANGING DROP",289,2.75,55.31,"60-65% MPD, 0.05M Sodium acetate, pH 3.8, VAPOR DIFFUSION, HANGING DROP, temperature 289K",3.8,2012,
2N7J,SOLUTION NMR,Protein,56,,6214.85,,,,,,,2015,
3AMD,X-RAY DIFFRACTION,Protein,1268,2,149754.09,"VAPOR DIFFUSION, SITTING DROP",298,1.94,36.47,"0.2M NaCl, 0.1M Tris, 25% PEG 3350, pH 8.5, VAPOR DIFFUSION, SITTING DROP, temperature 298K",8.5,2011,
2CMG,X-RAY DIFFRACTION,Protein,524,2,61171.23,,,2.14,42,pH 8.50,8.5,2007,
4MQM,X-RAY DIFFRACTION,Protein,304,1.35,33313.86,"VAPOR DIFFUSION, HANGING DROP",293,2.33,47.17,"25% PEG 1500, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",7.5,2013,
2LMK,SOLUTION NMR,Protein,57,,6307.25,,,,,,,2013,
1UHD,X-RAY DIFFRACTION,Protein,120,2,13337.36,"VAPOR DIFFUSION, HANGING DROP",297,2.96,58.15,"sodium formate, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 297K",7.5,2004,
 UNKNOWN FUNCTION,4Q88,X-RAY DIFFRACTION,Protein,718,1.73,84742.12,"VAPOR DIFFUSION, SITTING DROP",289,3.19,61.43,"0.2 M lithium sulfate, 0.1 M HEPES buffer, 25% PEG 3350, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 289K",7.5,,
2GER,X-RAY DIFFRACTION,Protein,1605,3.1,168154.45,"VAPOR DIFFUSION, HANGING DROP",291,3.92,68.64,"0.8-1M sodium acetate, 30-40mM imidazole, 50-60mM Tris-HCl, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 291K",7.5,2006,
4O1M,X-RAY DIFFRACTION,Protein,1890,2,204329.88,"VAPOR DIFFUSION, SITTING DROP",290,2.42,49.22,"0.1M Na-Formate, NH4-Acetate, Na3-Citrate, NaK-Tartrate, Na-Oxamate, 1M Sodium HEPES, MOPS pH7.5, 30%(v/v) P500MME_P20K), VAPOR DIFFUSION, SITTING DROP, temperature 290K",7.5,2014,
5GYM,X-RAY DIFFRACTION,Protein,2056,2.6,232123.98,"VAPOR DIFFUSION, SITTING DROP",293,2.21,44.24,"PEG 3350, sodium chloride, glycerol",,,
4AO9,X-RAY DIFFRACTION,Protein,908,1.5,97856.2,,,2.39,48.6,,,2013,
1Z54,X-RAY DIFFRACTION,Protein,528,2.1,61006.58,"VAPOR DIFFUSION, HANGING DROP",298,2.1,40.9,"1.5M Lithium sulfate, 0.1M Sodium hepes buffer, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",7,,
3KWG,X-RAY DIFFRACTION,Protein,282,2.21,31844.65,EVAPORATION,277,2.8,56.02,"0.3M magnesium formate, 0.1M Bis-Tris , pH 5.5, EVAPORATION, temperature 277K",5.5,2010,
3HHJ,X-RAY DIFFRACTION,Protein,316,2.1,35661.34,"VAPOR DIFFUSION, SITTING DROP",289,2.62,53.12,"Proplex sparse matrix screen condition B5, 0.1 M Hepes pH 7.5, 10% PEG 4000, 0.1M MgCl2, 20% Glycerol as cryo, 26.9 mg/mL Protein, crystal tracking ID 202117b5, VAPOR DIFFUSION, SITTING DROP, temperature 289K",7.5,2011,
4TZV,X-RAY DIFFRACTION,Protein#RNA,259,5.03,65858.84,"VAPOR DIFFUSION, HANGING DROP",293,2.94,58.23,"50 mM Bis-Tris (HCl) pH 6.5, 300 mM Li2SO4, and 20% (w/v) PEG3350, VAPOR DIFFUSION, HANGING DROP, temperature 293K",,2014,
3DH8,X-RAY DIFFRACTION,Protein,303,1.8,34969.36,"VAPOR DIFFUSION, HANGING DROP",292,2.28,46.12,"100mM HEPES, 200mM MgCl2, 30% PEG 400, 5mM bis-pNPP, pH 7.6, VAPOR DIFFUSION, HANGING DROP, temperature 292K",7.6,2009,
3KGV,X-RAY DIFFRACTION,Protein,57792,6.6,4918807,"VAPOR DIFFUSION, HANGING DROP",292,3.27,62.4,"8% PEG 8000, 0.2M NaCl, 0.05M DTT, 0.1M Bis-Tris, pH 6.2, VAPOR DIFFUSION, HANGING DROP, temperature 292K",6.2,2010,
5G1Y,X-RAY DIFFRACTION,Protein,256,1.8,28101.05,,,2.27,47,"0.2M AMMONIUM SULPHATE, 0.1M NA ACETATE PH4.6, 25%W/V PEG4000",4.6,2017,
3A0H,X-RAY DIFFRACTION,Protein,5296,4,684750.12,"VAPOR DIFFUSION, HANGING DROP",293,3.76,67.29,"4% PEG 1450, 40mM MgSO4, 10mM MgCl2, 13% glycerol, 0.01% DM, 20mM MES (pH6.0), 10mM NaI, 5mM CaI, VAPOR DIFFUSION, HANGING DROP, temperature 293K",6,2009,
1RKR,X-RAY DIFFRACTION,Protein,516,2.45,55873.55,"VAPOR DIFFUSION, HANGING DROP",,2.35,48,"HANGING-DROP VAPOR DIFFUSION METHOD, pH 8.0, vapor diffusion - hanging drop",8,1998,
5JMC,X-RAY DIFFRACTION,Protein,2228,2.64,259976.98,"VAPOR DIFFUSION, HANGING DROP",293,2.72,54.74,"100 mM sodium cacodylate, pH 6.5, 13% polyethylene glycol (PEG) 3350, 200 mM NaCl",,2016,
5MD3,ELECTRON MICROSCOPY,Protein,1474,8.5,164774.67,,,,,,,2016,
